parameter
"(x = 0.9253241825859344, param = 3.30693587362111, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 54)"
"(x = 0.9253241825859344, param = 3.3776465517397645, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 55)"
"(x = 0.9253241825859344, param = 3.448357229858419, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 56)"
"(x = 0.9253241825859344, param = 3.5190679079770737, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 57)"
"(x = 0.9253241825859344, param = 3.5897785860957283, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 58)"
"(x = 0.9253241825859344, param = 3.660489264214383, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 59)"
"(x = 0.9253241825859344, param = 3.7311999423330375, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 60)"
"(x = 0.9253241825859344, param = 3.801910620451692, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 61)"
"(x = 0.9253241825859344, param = 3.8726212985703468, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 62)"
"(x = 0.9253241825859344, param = 3.9433319766890014, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 63)"
"(x = 0.9253241825859344, param = 4.014042654807656, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 64)"
"(x = 0.9253241825859344, param = 4.084753332926311, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 65)"
"(x = 0.9253241825859344, param = 4.155464011044965, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 66)"
"(x = 0.9253241825859344, param = 4.22617468916362, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 67)"
"(x = 0.9253241825859344, param = 4.296885367282274, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 68)"
"(x = 0.9253241825859344, param = 4.367596045400929, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 69)"
"(x = 0.9253241825859344, param = 4.438306723519584, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 70)"
"(x = 0.9253241825859344, param = 4.509017401638238, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 71)"
"(x = 0.9253241825859344, param = 4.579728079756893, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 72)"
"(x = 0.9253241825859344, param = 4.6504387578755475, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 73)"
"(x = 0.9253241825859344, param = 4.721149435994202, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 74)"
"(x = 0.9253241825859344, param = 4.791860114112857, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 75)"
"(x = 0.9253241825859344, param = 4.862570792231511, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 76)"
"(x = 0.9253241825859344, param = 4.933281470350166, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 77)"
"(x = 0.9253241825859344, param = 5.0, itnewton = 0, itlinear = 0, ds = 0.05, n_unstable = 0, n_imag = 0, stable = true, step = 78)"
